SalesOrderID,OrderDate,ShipDate,ShipMethod,CustomerID,CustomerName,Segment,CountryRegion,City,Province,PostalCode,Territory,ProductName,SubCategory,Category,Qty,UnitPrice,Sales,Discount,ProductCost,TotalCost,Profit
43688,7/1/2001,7/8/2001,CARGO TRANSPORT 5,161,,Shop,United States,Fort Wayne,Indiana,46807,Northeast,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43689,7/1/2001,7/8/2001,CARGO TRANSPORT 5,166,,Shop,United States,Garland,Texas,75040,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43690,7/1/2001,7/8/2001,CARGO TRANSPORT 5,431,,Shop,United States,Holland,Michigan,49423,Central,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43692,7/1/2001,7/8/2001,CARGO TRANSPORT 5,221,,Shop,United States,Las Cruces,New Mexico,88001,Southwest,AWC Logo Cap,Caps,Clothing,6,5.1865,31.119,0,5.7052,34.2312,-3.1122
43692,7/1/2001,7/8/2001,CARGO TRANSPORT 5,221,,Shop,United States,Las Cruces,New Mexico,88001,Southwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43694,7/1/2001,7/8/2001,CARGO TRANSPORT 5,315,,Shop,United States,Merritt Island,Florida,32952,Southeast,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
43710,7/3/2001,7/10/2001,XRQ - TRUCK GROUND,16517,Katrina Raji,Individu,Australia,Wollongong,New South Wales,2500,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43711,7/4/2001,7/11/2001,XRQ - TRUCK GROUND,27606,Courtney Edwards,Individu,United States,Milwaukie,Oregon,97222,Northwest,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43715,7/5/2001,7/12/2001,XRQ - TRUCK GROUND,16483,Warren Jai,Individu,Australia,Melbourne,Victoria,3000,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43731,7/9/2001,7/16/2001,XRQ - TRUCK GROUND,16629,Rosa Zheng,Individu,Australia,Matraville,New South Wales,2036,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43742,7/12/2001,7/19/2001,XRQ - TRUCK GROUND,13576,Tamara Lal,Individu,United Kingdom,London,England,W1X3SE,United Kingdom,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43747,7/14/2001,7/21/2001,XRQ - TRUCK GROUND,27623,Christian Jackson,Individu,United States,Lincoln Acres,California,91950,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43749,7/14/2001,7/21/2001,XRQ - TRUCK GROUND,27636,Paige Murphy,Individu,United States,Issaquah,Washington,98027,Northwest,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43760,7/16/2001,7/23/2001,XRQ - TRUCK GROUND,16352,Tiffany Gao,Individu,Australia,Goulburn,New South Wales,2580,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43762,7/17/2001,7/24/2001,XRQ - TRUCK GROUND,27578,Courtney Carter,Individu,United States,Lakewood,California,90712,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43773,7/19/2001,7/26/2001,XRQ - TRUCK GROUND,16526,Arthur Perez,Individu,Australia,Sunbury,Victoria,3429,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43776,7/20/2001,7/27/2001,XRQ - TRUCK GROUND,13260,James Flores,Individu,Germany,Neunkirchen,Saarland,66578,Germany,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43791,7/22/2001,7/29/2001,XRQ - TRUCK GROUND,16484,Dustin Lal,Individu,Australia,Springwood,New South Wales,2777,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43803,7/25/2001,8/1/2001,XRQ - TRUCK GROUND,21741,Alexa Sanders,Individu,Canada,N. Vancouver,British Columbia,V7L 4J4,Canada,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43816,7/27/2001,8/3/2001,XRQ - TRUCK GROUND,16496,Dawn Tang,Individu,Australia,Darlinghurst,New South Wales,2010,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43841,7/31/2001,8/7/2001,XRQ - TRUCK GROUND,13406,Craig Jiménez,Individu,Germany,Münster,Saarland,48001,Germany,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43845,8/1/2001,8/8/2001,CARGO TRANSPORT 5,206,,Shop,United States,Winston-Salem,North Carolina,27104,Southeast,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43845,8/1/2001,8/8/2001,CARGO TRANSPORT 5,206,,Shop,United States,Winston-Salem,North Carolina,27104,Southeast,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0,5.7052,22.8208,-2.0748
43846,8/1/2001,8/8/2001,CARGO TRANSPORT 5,318,,Shop,Canada,Victoria,British Columbia,V8V,Canada,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
43847,8/1/2001,8/8/2001,CARGO TRANSPORT 5,210,,Shop,Canada,Toronto,Ontario,M4B 1V5,Canada,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
43850,8/1/2001,8/8/2001,CARGO TRANSPORT 5,191,,Shop,Canada,Toronto,Ontario,M4B 1V7,Canada,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43851,8/1/2001,8/8/2001,CARGO TRANSPORT 5,558,,Shop,United States,Tilton,New Hampshire,3276,Northeast,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43851,8/1/2001,8/8/2001,CARGO TRANSPORT 5,558,,Shop,United States,Tilton,New Hampshire,3276,Northeast,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
43855,8/1/2001,8/8/2001,CARGO TRANSPORT 5,102,,Shop,Canada,Toronto,Ontario,M4B 1V7,Canada,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43857,8/1/2001,8/8/2001,CARGO TRANSPORT 5,533,,Shop,Canada,Sillery,Quebec,G1T,Canada,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
43858,8/1/2001,8/8/2001,CARGO TRANSPORT 5,36,,Shop,United States,South Bend,Indiana,46601,Northeast,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43860,8/1/2001,8/8/2001,CARGO TRANSPORT 5,1,,Shop,United States,Seattle,Washington,98104,Northwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43861,8/1/2001,8/8/2001,CARGO TRANSPORT 5,584,,Shop,United States,Savannah,Georgia,31401,Southeast,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43861,8/1/2001,8/8/2001,CARGO TRANSPORT 5,584,,Shop,United States,Savannah,Georgia,31401,Southeast,AWC Logo Cap,Caps,Clothing,9,5.1865,46.6785,0,5.7052,51.3468,-4.6683
43863,8/1/2001,8/8/2001,CARGO TRANSPORT 5,471,,Shop,United States,San Antonio,Texas,78204,Southwest,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
43865,8/1/2001,8/8/2001,CARGO TRANSPORT 5,328,,Shop,United States,San Antonio,Texas,78204,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43865,8/1/2001,8/8/2001,CARGO TRANSPORT 5,328,,Shop,United States,San Antonio,Texas,78204,Southwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
43867,8/1/2001,8/8/2001,CARGO TRANSPORT 5,145,,Shop,United States,Redmond,Washington,98052,Northwest,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0,5.7052,22.8208,-2.0748
43871,8/1/2001,8/8/2001,CARGO TRANSPORT 5,527,,Shop,United States,Parker,Colorado,80138,Central,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
43871,8/1/2001,8/8/2001,CARGO TRANSPORT 5,527,,Shop,United States,Parker,Colorado,80138,Central,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43872,8/1/2001,8/8/2001,CARGO TRANSPORT 5,240,,Shop,United States,Orange,California,92867,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43872,8/1/2001,8/8/2001,CARGO TRANSPORT 5,240,,Shop,United States,Orange,California,92867,Southwest,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0,5.7052,22.8208,-2.0748
43873,8/1/2001,8/8/2001,CARGO TRANSPORT 5,78,,Shop,United States,Ontario,California,91764,Southwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43875,8/1/2001,8/8/2001,CARGO TRANSPORT 5,278,,Shop,United States,Orlando,Florida,32804,Southeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43879,8/1/2001,8/8/2001,CARGO TRANSPORT 5,569,,Shop,Canada,Nepean,Ontario,K2J 2W5,Canada,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43879,8/1/2001,8/8/2001,CARGO TRANSPORT 5,569,,Shop,Canada,Nepean,Ontario,K2J 2W5,Canada,AWC Logo Cap,Caps,Clothing,13,5.0136,63.873264,0.02,5.7052,74.1676,-10.294336
43880,8/1/2001,8/8/2001,CARGO TRANSPORT 5,336,,Shop,Canada,Montreal,Quebec,H1Y 2H8,Canada,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43883,8/1/2001,8/8/2001,CARGO TRANSPORT 5,684,,Shop,United States,Milford,Connecticut,6460,Northeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43883,8/1/2001,8/8/2001,CARGO TRANSPORT 5,684,,Shop,United States,Milford,Connecticut,6460,Northeast,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43884,8/1/2001,8/8/2001,CARGO TRANSPORT 5,623,,Shop,United States,Minneapolis,Minnesota,55402,Central,AWC Logo Cap,Caps,Clothing,8,5.1865,41.492,0,5.7052,45.6416,-4.1496
43886,8/1/2001,8/8/2001,CARGO TRANSPORT 5,317,,Shop,Canada,Burnaby,British Columbia,V5A 4X1,Canada,AWC Logo Cap,Caps,Clothing,6,5.1865,31.119,0,5.7052,34.2312,-3.1122
43886,8/1/2001,8/8/2001,CARGO TRANSPORT 5,317,,Shop,Canada,Burnaby,British Columbia,V5A 4X1,Canada,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43888,8/1/2001,8/8/2001,CARGO TRANSPORT 5,136,,Shop,Canada,Calgary,Alberta,T2P 2G8,Canada,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43892,8/1/2001,8/8/2001,CARGO TRANSPORT 5,167,,Shop,United States,Carson,California,90746,Southwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43892,8/1/2001,8/8/2001,CARGO TRANSPORT 5,167,,Shop,United States,Carson,California,90746,Southwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
43895,8/1/2001,8/8/2001,CARGO TRANSPORT 5,469,,Shop,United States,Chehalis,Washington,98532,Northwest,AWC Logo Cap,Caps,Clothing,6,5.1865,31.119,0,5.7052,34.2312,-3.1122
43897,8/1/2001,8/8/2001,CARGO TRANSPORT 5,312,,Shop,United States,Culver City,California,90232,Southwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
43898,8/1/2001,8/8/2001,CARGO TRANSPORT 5,84,,Shop,Canada,Etobicoke,Ontario,M9W 3P3,Canada,AWC Logo Cap,Caps,Clothing,7,5.1865,36.3055,0,5.7052,39.9364,-3.6309
43898,8/1/2001,8/8/2001,CARGO TRANSPORT 5,84,,Shop,Canada,Etobicoke,Ontario,M9W 3P3,Canada,Road-150 Red 56,Road Bikes,Bikes,3,2146.962,6440.886,0,2171.2942,6513.8826,-72.9966
43899,8/1/2001,8/8/2001,CARGO TRANSPORT 5,364,,Shop,United States,Ferguson,Missouri,63135,Central,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43902,8/1/2001,8/8/2001,CARGO TRANSPORT 5,566,,Shop,United States,Gulfport,Mississippi,39501,Southeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43904,8/1/2001,8/8/2001,CARGO TRANSPORT 5,255,,Shop,United States,Houston,Texas,77003,Southwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43905,8/1/2001,8/8/2001,CARGO TRANSPORT 5,612,,Shop,United States,Hollywood,Florida,33021,Southeast,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43906,8/1/2001,8/8/2001,CARGO TRANSPORT 5,309,,Shop,United States,Houston,Texas,77003,Southwest,AWC Logo Cap,Caps,Clothing,7,5.1865,36.3055,0,5.7052,39.9364,-3.6309
43907,8/1/2001,8/8/2001,CARGO TRANSPORT 5,342,,Shop,United States,Indianapolis,Indiana,46204,Northeast,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43907,8/1/2001,8/8/2001,CARGO TRANSPORT 5,342,,Shop,United States,Indianapolis,Indiana,46204,Northeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43911,8/1/2001,8/8/2001,CARGO TRANSPORT 5,433,,Shop,United States,Lacey,Washington,98503,Northwest,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43911,8/1/2001,8/8/2001,CARGO TRANSPORT 5,433,,Shop,United States,Lacey,Washington,98503,Northwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43912,8/1/2001,8/8/2001,CARGO TRANSPORT 5,403,,Shop,United States,Lake Elsinore,California,92530,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43913,8/1/2001,8/8/2001,CARGO TRANSPORT 5,40,,Shop,United States,Laredo,Texas,78040,Southwest,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43916,8/1/2001,8/8/2001,CARGO TRANSPORT 5,348,,Shop,United States,Loveland,Colorado,80537,Central,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43917,8/1/2001,8/8/2001,CARGO TRANSPORT 5,218,,Shop,United States,Longview,Washington,98632,Northwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43917,8/1/2001,8/8/2001,CARGO TRANSPORT 5,218,,Shop,United States,Longview,Washington,98632,Northwest,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0,5.7052,22.8208,-2.0748
43919,8/1/2001,8/8/2001,XRQ - TRUCK GROUND,12124,Brandi Gill,Individu,France,Paris,Seine (Paris),75002,France,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43925,8/2/2001,8/9/2001,XRQ - TRUCK GROUND,16661,Shane Raman,Individu,Australia,Malabar,New South Wales,2036,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43927,8/3/2001,8/10/2001,XRQ - TRUCK GROUND,16662,Stacey Gao,Individu,Australia,Sydney,New South Wales,1002,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43932,8/4/2001,8/11/2001,XRQ - TRUCK GROUND,16741,Alan Xu,Individu,Australia,Rhodes,New South Wales,2138,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43941,8/6/2001,8/13/2001,XRQ - TRUCK GROUND,13600,Marie Sanz,Individu,United Kingdom,Watford,England,WA3,United Kingdom,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43955,8/8/2001,8/15/2001,XRQ - TRUCK GROUND,13661,Andre Sara,Individu,United Kingdom,Warrington,England,WA1,United Kingdom,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43963,8/10/2001,8/17/2001,XRQ - TRUCK GROUND,16685,Robin Dominguez,Individu,Australia,Port Macquarie,New South Wales,2444,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43971,8/11/2001,8/18/2001,XRQ - TRUCK GROUND,16657,Alvin She,Individu,Australia,Lavender Bay,New South Wales,2060,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43972,8/12/2001,8/19/2001,XRQ - TRUCK GROUND,21939,Thomas Roberts,Individu,Canada,Langford,British Columbia,V9,Canada,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43981,8/13/2001,8/20/2001,XRQ - TRUCK GROUND,16664,Sophia Nelson,Individu,Australia,Melton,Victoria,3337,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43983,8/14/2001,8/21/2001,XRQ - TRUCK GROUND,28017,Christopher Martin,Individu,United States,Bremerton,Washington,98312,Northwest,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43993,8/17/2001,8/24/2001,XRQ - TRUCK GROUND,16929,Savannah Scott,Individu,Australia,Hobart,Tasmania,7001,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
43994,8/18/2001,8/25/2001,XRQ - TRUCK GROUND,27681,Olivia Jackson,Individu,United States,Chula Vista,California,91910,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44009,8/20/2001,8/27/2001,XRQ - TRUCK GROUND,27759,Alexandria Brooks,Individu,United States,Renton,Washington,98055,Northwest,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44024,8/22/2001,8/29/2001,XRQ - TRUCK GROUND,16663,Rosa Lu,Individu,Australia,Geelong,Victoria,3220,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44025,8/22/2001,8/29/2001,XRQ - TRUCK GROUND,16708,Kellie Sanz,Individu,Australia,Lavender Bay,New South Wales,2060,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44033,8/24/2001,8/31/2001,XRQ - TRUCK GROUND,16693,Ethan Coleman,Individu,Australia,Caloundra,Queensland,4551,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44044,8/26/2001,9/2/2001,XRQ - TRUCK GROUND,13690,Claudia Gao,Individu,United Kingdom,W. York,England,BD1 4SJ,United Kingdom,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44048,8/26/2001,9/2/2001,XRQ - TRUCK GROUND,16713,Tony Nara,Individu,Australia,East Brisbane,Queensland,4169,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44049,8/27/2001,9/3/2001,XRQ - TRUCK GROUND,13538,Vanessa Henderson,Individu,Germany,Kassel,Hessen,34117,Germany,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44052,8/28/2001,9/4/2001,XRQ - TRUCK GROUND,16637,Evan King,Individu,Australia,Port Macquarie,New South Wales,2444,Australia,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44054,8/29/2001,9/5/2001,XRQ - TRUCK GROUND,13542,Sharon Kumar,Individu,Germany,Frankfurt,Hessen,60323,Germany,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44056,8/29/2001,9/5/2001,XRQ - TRUCK GROUND,13559,Lori Ramos,Individu,Germany,Berlin,Hessen,12171,Germany,Road-150 Red 56,Road Bikes,Bikes,1,3578.27,3578.27,0,2171.2942,2171.2942,1406.9758
44074,9/1/2001,9/8/2001,CARGO TRANSPORT 5,216,,Shop,United States,Waterbury,Connecticut,6710,Northeast,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
44079,9/1/2001,9/8/2001,CARGO TRANSPORT 5,57,,Shop,United States,West Chicago,Illinois,60185,Central,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
44079,9/1/2001,9/8/2001,CARGO TRANSPORT 5,57,,Shop,United States,West Chicago,Illinois,60185,Central,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0,5.7052,22.8208,-2.0748
44081,9/1/2001,9/8/2001,CARGO TRANSPORT 5,118,,Shop,Canada,Toronto,Ontario,M4B 1V7,Canada,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
44083,9/1/2001,9/8/2001,CARGO TRANSPORT 5,631,,Shop,Canada,Toronto,Ontario,M4B 1V4,Canada,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
